player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Paul Dummett,23,Newcastle,33, D(CL)  ,21(5),1987,0,0.2,29.2,71.1,0.3,2,0,6.74,0,1,0,0.3,2.3,0,0.1,0.4,0,0,0.4,1.3,1.4,0.4,0.4,4.7,0.5,0.4,0
Aaron Mooy,166,Huddersfield,34, M(CLR)  ,25(4),2327,1,1.5,44.1,80.2,1.4,2.1,0,6.73,3,4,0,1.5,0.5,1,0.8,0.4,0,1.6,1.2,2.1,0.5,0.9,0,0.7,1.1,0.2,0
Neil Etheridge,188,Cardiff,35, GK  ,38,3420,0,0.1,30.1,32.3,0,9.1,0,6.72,0,2,0,0,0.2,3,0,0.1,0,0,0,0,0.2,0,0,0.8,0,0,0
Will Hughes,27,Watford,29, M(CLR)  ,31(1),2436,4,0.9,30,76.4,0.1,0.5,0,6.72,2,5,0,1,0.7,0,0.8,2.2,0,1.6,1.8,2.3,0.8,1.7,0,0.7,1.1,0.2,0
Lewis Dunk,211,Brighton,33, D(C)  ,36,3153,1,0.3,41.4,82.8,0,4.5,0,6.72,2,5,1,0.6,3.3,1,0,0.4,0,0.1,0.4,1.2,1.3,0.6,0.3,5.4,0.6,1.1,0
Lucas Torreira,13,Arsenal,29, DMC  ,24(10),2381,2,0.5,46.8,87.4,0.2,1.8,0,6.72,2,7,1,0.7,0.6,0,0.4,2.3,0,0.8,0.9,1.9,1.2,1.1,0.1,0.9,0.9,0.2,0
Mamadou Sakho,162,Crystal Palace,35, D(C)  ,27,2417,0,0.2,48.9,88.6,0,2.2,0,6.72,0,2,0,0.1,1.9,0,0.3,0.5,0,0.2,0.4,0.9,1.5,0.2,0.6,4.9,0.3,0.6,0
Víctor Camarasa,188,Cardiff,30, M(CR)  ,31(1),2579,4,1.6,27.7,75.1,1.3,1.4,0,6.72,5,6,0,1.3,0.6,0,1.1,0.9,0,1.5,1.9,0.9,1,0.7,0,0.8,0.8,0.1,0
Maxime Le Marchand,170,Fulham,35, D(CL)  ,25(1),2252,1,0.3,53.3,83.3,0.2,3.5,0,6.72,0,5,0,0.2,2.2,0,0.4,0.3,0.1,0.2,0.4,2.2,2.1,1.1,0.6,4.7,0.9,0.6,0
Patrick van Aanholt,162,Crystal Palace,34," D(L),M(L)  ",36,3198,2,1,44.7,79.8,0.3,1.9,0.1,6.71,3,3,0,1.3,0.3,0,0.6,0.4,0.3,0.4,1,1.3,1.1,0.3,0.2,2.3,0.4,0.3,0
Martín Montoya,211,Brighton,33," D(LR),M(R)  ",24(1),2166,1,0.7,34.3,80,0.6,1.5,0,6.71,0,4,0,0.3,1,0,0.5,0.6,0,0.4,0.8,2.3,1.9,1.2,0.3,2.5,0.9,0.4,0
Adam Smith,183,Bournemouth,33," D(LR),M(LR)  ",25,2073,1,0.4,34.9,82,0.2,0.9,0,6.71,1,5,1,0.3,1.1,0,0.8,1.7,0,0.4,1,1.8,1.2,0.7,0.2,2.3,0.9,0.3,0
Xherdan Shaqiri,26,Liverpool,33, M(CLR)  ,11(13),1059,3,0.8,26.6,81.2,0.5,1.5,0.2,6.71,6,2,0,1.1,0.1,1,0.3,0.6,0.1,0.8,1,0.6,0.3,0.4,0,0.3,0.4,0,0
Aaron Ramsey,13,Arsenal,34, M(CLR)  ,14(14),1331,6,0.9,27.6,82,0.2,0.9,0,6.70,4,0,0,1.2,0.5,0,0.4,0.7,0.1,1,1.3,1.2,0.3,0.8,0,0.1,0.6,0,0
Dan Gosling,183,Bournemouth,35," D(R),M(C)  ",19(6),1738,1,0.4,38.8,79.6,0,1.9,0.1,6.70,2,8,0,0.8,1.4,0,0.5,1,0.1,0.8,0.8,2.3,0.8,1.2,0,1.8,1,0.4,0
Juan Mata,32,Man Utd,36, AM(CLR)  ,16(6),1295,2,1.4,31.8,86,0.6,2.2,0.1,6.70,3,3,0,0.9,0.1,0,0.5,0.4,0.4,0.9,0.6,0.4,0.3,0.5,0,0.2,0.7,0,0
Steve Mounié,166,Huddersfield,30, FW  ,19(12),1778,3,0.6,18,64.5,0,0.1,0,6.69,2,1,1,2,6.8,2,0.4,0.5,0.5,1.2,2,0.3,0.2,1,0,0.5,0.3,0,0
